timestamp,unique_visits,new_users,sessions,page_views,ext_visits
2019-09-30T00:00:00Z,518,394,583,1780,0
2019-10-01T00:00:00Z,565,425,651,2209,0
2019-10-02T00:00:00Z,620,485,706,2620,0
2019-10-03T00:00:00Z,537,421,596,1880,0
2019-10-04T00:00:00Z,525,393,589,1768,0
2019-10-05T00:00:00Z,183,151,206,562,0
2019-10-06T00:00:00Z,178,152,202,577,0
2019-10-07T00:00:00Z,524,419,592,1650,0
2019-10-08T00:00:00Z,529,408,598,1804,0
2019-10-09T00:00:00Z,525,385,588,1983,0
2019-10-10T00:00:00Z,516,398,591,1708,0
2019-10-11T00:00:00Z,433,323,505,1487,9.01
