year	week	INFOCERT ID	POSTE ID	SIELTE ID	TIM ID	ARUBA	Register	Namirial	Intesa	Lepida	total
2019	28	221	589	20	0	13	0	2	0	0	845
2019	27	221	589	20	0	13	0	2	0	0	845
2019	26	64	790	224	15	142	0	6	0	2	1243
2019	25	99	3296	216	0	83	0	2	0	3	3699
2019	16	0	1481	192	0	40	0	0	0	0	1713
2019	15	33	1680	219	7	36	0	0	0	0	1975
2019	14	0	0	0	0	40	0	0	0	1	41
2019	13	51	0	222	9	44	0	0	0	1	327
2019	12	51	1996	329	4	36	0	8	0	0	2424
2019	11	41	2201	329	16	45	0	9	0	2	2643
2019	10	0	4131	363	0	82	0	5	0	2	4583
2019	9	43	2905	423	0	67	0	6	0	2	3446
2019	8	176	3992	683	0	155	0	9	5	3	5023
2019	7	0	14137	799	0	154	0	3	0	1	15094
2019	6	86	5955	975	185	119	0	9	1	2	7332
2019	5	114	5773	1205	0	174	0	14	0	0	7280
2019	4	135	9366	1339	117	201	129	30	268	0	11585
2019	3	0	13248	1503	0	295	0	24	0	0	15070
2019	2	0	64	0	0	1	0	26	0	0	91
2019	1	0	32	0	0	1	0	12	0	0	45
2018	52	0	93	2	0	0	0	5	0	0	100
2018	8	26	1708	411	21	8	0	0	0	0	2174
2018	7	25	1864	499	8	8	0	0	0	0	2404
2018	6	40	1952	0	17	20	0	0	0	0	2029
2018	5	31	2458	622	20	17	0	1	0	0	3149
2018	4	36	2583	671	17	17	0	0	0	0	3324
2018	3	37	2973	735	26	15	0	0	0	0	3786
2018	2	38	3621	802	60	18	0	0	0	0	4539
2018	1	42	3740	822	73	19	0	0	0	0	4696
2017	52	66	4412	725	60	20	0	0	0	0	5283
2017	51	0	11231	1209	0	42	0	0	0	0	12482
2017	50	54	5147	1093	102	23	0	0	0	0	6419
2017	49	36	5482	874	33	0	0	1	0	0	6426
2017	48	52	5643	1086	20	19	0	3	0	0	6823
2017	7	76	858	640	25	1	0	0	0	0	1600
2017	6	94	1185	1239	192	0	0	0	0	0	2710
2017	5	355	3028	0	0	0	0	0	0	0	3383
2017	4	374	5042	2705	0	0	0	0	0	0	8121
2017	3	296	7005	2798	74	0	0	0	0	0	10173
2017	2	280	7999	2470	79	0	0	0	0	0	10828
2017	1	232	6684	1610	52	0	0	0	0	0	8578
2016	52	0	9345	2093	72	0	0	0	0	0	11510
2016	44	127	6706	516	11	0	0	0	0	0	7360
2016	43	2146	195647	11654	223	6	3	0	0	0	209679
